keywords,pubmed_id,pubmed_url,doi,pub_date,entrez_year,abstract,title,authors,text
"['cognitive function', 'ketamine', 'neurological disorders', 'neuroplasticity', 'traumatic brain injury']",41982421,https://pubmed.ncbi.nlm.nih.gov/41982421/,10.3389/fneur.2026.1786249,2026-01-01,2026,"Subanesthetic ketamine shows rapid neuroplastic and antidepressant effects in psychiatric conditions, prompting interest in its potential relevance for cognitive dysfunction in neurological disorders. Cognitive deficits are widespread across traumatic brain injury, stroke, epilepsy, and neurodegenerative diseases, yet treatments remain primarily compensatory. Ketamine's actions on glutamatergic signaling, synaptogenesis, and neuroinflammation suggest possible cognitive implications, but its specific effects on cognition in neurological populations remain unclear. This systematic review evaluated evidence on the effects of ketamine on cognitive functioning in neurological diseases and injuries characterized by cognitive impairment. A systematic search of three databases through February 10, 2024, was conducted following Preferred Reporting Items for Systematic Reviews and Meta-Analysis 2020 guidelines, including animal or human studies administering ketamine or its derivatives with cognitive outcome measures. Twenty-two studies met inclusion criteria: twenty-one animal studies and one human study. In animal models of traumatic brain injury, epilepsy, cerebrovascular disease, Parkinson's disease, and infectious encephalopathy, a subject-level vote count in rodents indicated positive cognitive effects in 93.2% of subjects, particularly in working memory and spatial learning, while null effects appeared in 4.1% and negative effects in 2.7%. The only human study, conducted in patients with Huntington's disease, reported short-term, dose-dependent cognitive worsening after escalating intravenous ketamine. Overall, preclinical evidence indicates potential cognitive effects in animal models of neurological injury; however, human evidence remains extremely limited and does not currently support clinical cognitive enhancement. Further controlled clinical studies are needed to clarify safety, mechanisms, and translational relevance in neurological rehabilitation.",Ketamine as a potential cognitive enhancer in neurological disorders: evidence from preclinical and clinical studies.,"JE. Leon-Rojas, G. Mascialino, L. Vinueza Mera, MS. Hinojosa-Figueroa, CF. Navas Arias, ED. Cadena Barberis, A. Sacks-Zimmerman","Ketamine as a potential cognitive enhancer in neurological disorders: evidence from preclinical and clinical studies.^
Subanesthetic ketamine shows rapid neuroplastic and antidepressant effects in psychiatric conditions, prompting interest in its potential relevance for cognitive dysfunction in neurological disorders. Cognitive deficits are widespread across traumatic brain injury, stroke, epilepsy, and neurodegenerative diseases, yet treatments remain primarily compensatory. Ketamine's actions on glutamatergic signaling, synaptogenesis, and neuroinflammation suggest possible cognitive implications, but its specific effects on cognition in neurological populations remain unclear. This systematic review evaluated evidence on the effects of ketamine on cognitive functioning in neurological diseases and injuries characterized by cognitive impairment. A systematic search of three databases through February 10, 2024, was conducted following Preferred Reporting Items for Systematic Reviews and Meta-Analysis 2020 guidelines, including animal or human studies administering ketamine or its derivatives with cognitive outcome measures. Twenty-two studies met inclusion criteria: twenty-one animal studies and one human study. In animal models of traumatic brain injury, epilepsy, cerebrovascular disease, Parkinson's disease, and infectious encephalopathy, a subject-level vote count in rodents indicated positive cognitive effects in 93.2% of subjects, particularly in working memory and spatial learning, while null effects appeared in 4.1% and negative effects in 2.7%. The only human study, conducted in patients with Huntington's disease, reported short-term, dose-dependent cognitive worsening after escalating intravenous ketamine. Overall, preclinical evidence indicates potential cognitive effects in animal models of neurological injury; however, human evidence remains extremely limited and does not currently support clinical cognitive enhancement. Further controlled clinical studies are needed to clarify safety, mechanisms, and translational relevance in neurological rehabilitation."
[],41980923,https://pubmed.ncbi.nlm.nih.gov/41980923/,10.1038/s41398-026-03995-7,2026-04-14,2026,"Prolonged obesity induces enduring structural changes within neural circuits that contribute to maintaining the body at an elevated/obese body weight. These circuits regulate various mechanisms which can inhibit extreme or persistent weight loss. Therefore, a potential therapeutic strategy to facilitate weight loss is to promote structural plasticity within the brain. Psychedelic compounds, such as psilocybin, promote neural plasticity caused by a rapid and persistent growth of dendritic spines, which can facilitate the remodelling of neural circuits. Preclinical and clinical studies using psychedelic compounds have demonstrated efficacy for various neuropsychiatric disorders, which are often comorbid with obesity, and share underlying neural mechanisms. Here, we evaluate the effects of a single dose of psilocybin on body weight, food intake and energy expenditure in diet-induced obese (DIO) mice switched onto a low-fat chow. Psilocybin exacerbated diet-induced weight loss over a four-week period in DIO mice and increased the susceptibility for mice to exhibit more profound weight loss. Psilocybin appears to exert these effects predominantly through modulating food intake, with no influence on energy expenditure. No differences were observed in body weight or food intake in DIO mice maintained on a high-fat diet, indicating psilocybin does not necessarily directly promote weight loss or reduce food intake. Rather, it may help facilitate weight loss, provided it is administered in combination with other weight loss promoting interventions. Additional experimentation is required to examine the precise mechanisms involved; however, this data supports further investigation into the use of psychedelic compounds as an adjunct therapy for obesity.",Effects of a single dose of psilocybin on diet-induced weight loss in obese mice.,"RJ. Keenan, RT. Haque, X. Jin, T. Mustafa, J. Homman-Ludiye, K. Elysee, ZS. Wee, SE. Simonds, CJ. Foldi, MA. Cowley","Effects of a single dose of psilocybin on diet-induced weight loss in obese mice.^
Prolonged obesity induces enduring structural changes within neural circuits that contribute to maintaining the body at an elevated/obese body weight. These circuits regulate various mechanisms which can inhibit extreme or persistent weight loss. Therefore, a potential therapeutic strategy to facilitate weight loss is to promote structural plasticity within the brain. Psychedelic compounds, such as psilocybin, promote neural plasticity caused by a rapid and persistent growth of dendritic spines, which can facilitate the remodelling of neural circuits. Preclinical and clinical studies using psychedelic compounds have demonstrated efficacy for various neuropsychiatric disorders, which are often comorbid with obesity, and share underlying neural mechanisms. Here, we evaluate the effects of a single dose of psilocybin on body weight, food intake and energy expenditure in diet-induced obese (DIO) mice switched onto a low-fat chow. Psilocybin exacerbated diet-induced weight loss over a four-week period in DIO mice and increased the susceptibility for mice to exhibit more profound weight loss. Psilocybin appears to exert these effects predominantly through modulating food intake, with no influence on energy expenditure. No differences were observed in body weight or food intake in DIO mice maintained on a high-fat diet, indicating psilocybin does not necessarily directly promote weight loss or reduce food intake. Rather, it may help facilitate weight loss, provided it is administered in combination with other weight loss promoting interventions. Additional experimentation is required to examine the precise mechanisms involved; however, this data supports further investigation into the use of psychedelic compounds as an adjunct therapy for obesity."
"['Anxiety', 'Ayahuasca', 'BDNF', 'Chronic stress', 'Cortisol', 'Sociability', 'Zebrafish']",41974985,https://pubmed.ncbi.nlm.nih.gov/41974985/,10.1007/s00213-026-07058-z,2026-04-14,2026,"BACKGROUND: Chronic stress is a risk factor for the development of anxiety, depression, and comorbid systemic conditions. Ayahuasca (AYA) has been used for hundreds of years and it elicits antidepressant and anxiolytic effects. However, it remains unknown whether AYA elicits a behavioral and biochemical protective effect in chronic stress. AIM OF THE STUDY: Therefore, we evaluated the therapeutic potential of AYA in reversing or attenuating the behavioral and biochemical alterations induced by an unpredictable chronic stress (UCS) paradigm in adult zebrafish. METHODS: Zebrafish underwent an unpredictable chronic stress (UCS) protocol for 14 days or were left undisturbed in their tanks. On the 15th day, AYA was added to the tank at a dose of 0.5 or 1 mL/L for one hour. On day 16, fish underwent the sociability test and the novel tank test. The levels of whole-body cortisol and brain-derived neurotrophic factor (BDNF) were measured via ELISA. RESULTS: AYA restored stress-induced sociability impairments, anxiety-like behavior, and stress-induced hyperlocomotion and increased moving velocity in the novel tank test. Additionally, AYA reversed the stress-induced increase in whole-body cortisol and the stress-induced decrease in whole-brain BDNF. CONCLUSION: A single exposure of zebrafish to AYA restored the chronic stress-induced impairments in sociability, stress-induced anxiety-like behavior, and biochemical markers of stress and impaired neuroplasticity. These findings support the potential of AYA to reverse stress-induced behavioral and neuroendocrine alterations. Clinical studies are warranted to evaluate the translational relevance of these effects in individuals exposed to chronic stress.","Single exposure to Ayahuasca reverses chronic stress effects on sociability, anxiety, cortisol, and BDNF in zebrafish.","G. Lodetti, A. Inserra, H. Redivo, AG. Teixeira, RM. de Bitencourt, EP. Rico","Single exposure to Ayahuasca reverses chronic stress effects on sociability, anxiety, cortisol, and BDNF in zebrafish.^
BACKGROUND: Chronic stress is a risk factor for the development of anxiety, depression, and comorbid systemic conditions. Ayahuasca (AYA) has been used for hundreds of years and it elicits antidepressant and anxiolytic effects. However, it remains unknown whether AYA elicits a behavioral and biochemical protective effect in chronic stress. AIM OF THE STUDY: Therefore, we evaluated the therapeutic potential of AYA in reversing or attenuating the behavioral and biochemical alterations induced by an unpredictable chronic stress (UCS) paradigm in adult zebrafish. METHODS: Zebrafish underwent an unpredictable chronic stress (UCS) protocol for 14 days or were left undisturbed in their tanks. On the 15th day, AYA was added to the tank at a dose of 0.5 or 1 mL/L for one hour. On day 16, fish underwent the sociability test and the novel tank test. The levels of whole-body cortisol and brain-derived neurotrophic factor (BDNF) were measured via ELISA. RESULTS: AYA restored stress-induced sociability impairments, anxiety-like behavior, and stress-induced hyperlocomotion and increased moving velocity in the novel tank test. Additionally, AYA reversed the stress-induced increase in whole-body cortisol and the stress-induced decrease in whole-brain BDNF. CONCLUSION: A single exposure of zebrafish to AYA restored the chronic stress-induced impairments in sociability, stress-induced anxiety-like behavior, and biochemical markers of stress and impaired neuroplasticity. These findings support the potential of AYA to reverse stress-induced behavioral and neuroendocrine alterations. Clinical studies are warranted to evaluate the translational relevance of these effects in individuals exposed to chronic stress."
"['A1 astrocyte', 'Anti-depression', 'Astrocyte', 'Prefrontal cortex', 'Psilocybin']",41974301,https://pubmed.ncbi.nlm.nih.gov/41974301/,10.1016/j.pnpbp.2026.111698,2026-04-11,2026,"Psilocybin showed a rapid antidepressant response in several clinical trials, which offers new hope for treating depression. Astrocytes were associated with the etiology of depression and might contribute to the onset of psilocybin. In this study, we investigated the fast antidepressant effect of psilocybin and tested variations of GFAP (astrocytic markers) and C3 protein (markers of A1 astrocyte) expression after psilocybin treatment in the chronic restraint stress (CRS) mouse model. We next defined the modulating impact of psilocin (psilocybin's main active metabolite) on primary astrocytes as well as A1 astrocytes in vitro. The depletion of astrocytes was achieved by AAV injection to further verify the astrocytic role underlying the action of psilocybin. Psilocybin and ketamine (positive control) rapidly reversed the depressive-like behaviors in the CRS mice. Both psilocybin and ketamine inhibited the CRS-induced astrocytic loss and increased C3 protein in the prefrontal cortex (PFC). Psilocin up-regulated the activation and proliferation of primary astrocytes, and strengthened astrocytic ATP/lactate/glutamate release and mitochondrial function. Psilocin reversed A1 astrocyte-induced impairments in ATP/lactate/glutamate release and mitochondrial function. In vivo, depletion of astrocytes in the prelimbic (PrL) region of mPFC might affect the antidepressant action of psilocybin in unstressed mice. Our findings might be significant for a better understanding of astrocytic mechanisms in the action of psilocybin.",The astrocytes in the prefrontal cortex contribute to the rapid antidepressant-like effects of psilocybin in the chronic restraint stress mouse model.,"YX. Qiao, W. Dai, YS. Yao, QQ. Wei, CX. Yue, YY. Yin, YF. Li, LM. Zhang","The astrocytes in the prefrontal cortex contribute to the rapid antidepressant-like effects of psilocybin in the chronic restraint stress mouse model.^
Psilocybin showed a rapid antidepressant response in several clinical trials, which offers new hope for treating depression. Astrocytes were associated with the etiology of depression and might contribute to the onset of psilocybin. In this study, we investigated the fast antidepressant effect of psilocybin and tested variations of GFAP (astrocytic markers) and C3 protein (markers of A1 astrocyte) expression after psilocybin treatment in the chronic restraint stress (CRS) mouse model. We next defined the modulating impact of psilocin (psilocybin's main active metabolite) on primary astrocytes as well as A1 astrocytes in vitro. The depletion of astrocytes was achieved by AAV injection to further verify the astrocytic role underlying the action of psilocybin. Psilocybin and ketamine (positive control) rapidly reversed the depressive-like behaviors in the CRS mice. Both psilocybin and ketamine inhibited the CRS-induced astrocytic loss and increased C3 protein in the prefrontal cortex (PFC). Psilocin up-regulated the activation and proliferation of primary astrocytes, and strengthened astrocytic ATP/lactate/glutamate release and mitochondrial function. Psilocin reversed A1 astrocyte-induced impairments in ATP/lactate/glutamate release and mitochondrial function. In vivo, depletion of astrocytes in the prelimbic (PrL) region of mPFC might affect the antidepressant action of psilocybin in unstressed mice. Our findings might be significant for a better understanding of astrocytic mechanisms in the action of psilocybin."
"['borderline personality', 'depression', 'psilocybin', 'treatment']",41973961,https://pubmed.ncbi.nlm.nih.gov/41973961/,10.1097/WNF.0000000000000683,2026-04-01,2026,"OBJECTIVES: Borderline personality disorder (BPD) is often comorbid with major depressive disorder (MDD), and there has been a suggestion in the literature that this comorbidity may interfere with MDD treatment response. Our objective was to conduct a pilot study of psilocybin in adults with BPD and MDD. METHODS: Adults aged 18 to 65 years with a DSM-5 diagnosis of MDD and BPD were enrolled in an open-label pilot study of a single dose of psilocybin. Assessments were conducted 1 week before dosing (baseline), on the dosing day (visit 2), and at 1, 2, and 4 weeks postdosing. The co-primary outcome measures were changes in depressive and BPD symptoms from baseline to study endpoint, and we used a paired-samples t test to examine changes in symptoms. RESULTS: Nine participants (4 males; mean age=31.3 y) with MDD and BPD were enrolled. MDD symptoms significantly changed from baseline to visit 5: baseline (M=28.56, SD=4.53) and final visit (M=17.22, SD=10.39); t(8)=-4.217, P=0.003; Cohen d=1.41. BPD scores did not significantly change from baseline to study endpoint. CONCLUSIONS: This small open-label study resulted in statistically significant improvement in MDD symptoms but not for BPD symptoms. These findings, which await larger clinical trials, suggest that BPD does not appear to interfere with response to depressive symptoms.",An Open-Label Study of Single-Dose Psilocybin for Borderline Personality Disorder With Co-Occurring Major Depressive Disorder.,"JE. Grant, S. Boutouis, M. O'Brien, L. Avila, M. Neelapu, D. Ehsan","An Open-Label Study of Single-Dose Psilocybin for Borderline Personality Disorder With Co-Occurring Major Depressive Disorder.^
OBJECTIVES: Borderline personality disorder (BPD) is often comorbid with major depressive disorder (MDD), and there has been a suggestion in the literature that this comorbidity may interfere with MDD treatment response. Our objective was to conduct a pilot study of psilocybin in adults with BPD and MDD. METHODS: Adults aged 18 to 65 years with a DSM-5 diagnosis of MDD and BPD were enrolled in an open-label pilot study of a single dose of psilocybin. Assessments were conducted 1 week before dosing (baseline), on the dosing day (visit 2), and at 1, 2, and 4 weeks postdosing. The co-primary outcome measures were changes in depressive and BPD symptoms from baseline to study endpoint, and we used a paired-samples t test to examine changes in symptoms. RESULTS: Nine participants (4 males; mean age=31.3 y) with MDD and BPD were enrolled. MDD symptoms significantly changed from baseline to visit 5: baseline (M=28.56, SD=4.53) and final visit (M=17.22, SD=10.39); t(8)=-4.217, P=0.003; Cohen d=1.41. BPD scores did not significantly change from baseline to study endpoint. CONCLUSIONS: This small open-label study resulted in statistically significant improvement in MDD symptoms but not for BPD symptoms. These findings, which await larger clinical trials, suggest that BPD does not appear to interfere with response to depressive symptoms."
[],41966731,https://pubmed.ncbi.nlm.nih.gov/41966731/,10.1016/j.euroneuro.2026.112830,2026-04-10,2026,,"Corrigendum to Safety, tolerability and subjective effects of vaporized N, N-Dimethyltryptamine: A randomized double-blind clinical trial [European Neuropsychopharmacology 97 (2025) 16-27].","I. Wießner, M. Falchi-Carvalho, S. Laborde, H. Barros, R. Bolcont, S. Ruschi Silva, É. Pantrigo, M. Medina, F. Arichelle, R. Almeida, R. Aires, LF. Nunes Ferreira, L. Dantas Corrêa, RB. Da Costa Bezerra, K. Thie, N. Silva-Costa, LA. de Araújo Costa Neto, MVJ. Lima de Queiroz, N. Galvão-Coelho, D. Araujo, F. Palhano-Fontes","Corrigendum to Safety, tolerability and subjective effects of vaporized N, N-Dimethyltryptamine: A randomized double-blind clinical trial [European Neuropsychopharmacology 97 (2025) 16-27].^
"
"['Antidépresseurs à action rapide', 'Dépression résistante au traitement', 'Fast-acting antidepressants', 'LSD', 'Psychedelics', 'Psychédéliques', 'Treatment-resistant depression']",41963179,https://pubmed.ncbi.nlm.nih.gov/41963179/,10.1016/j.encep.2026.02.008,2026-04-09,2026,"Major depressive disorder (MDD) represents a colossal worldwide burden of health, affecting more than 350 million individuals. While traditional antidepressants with mechanisms of action at the serotonin, dopamine, or norepinephrine pathways are routinely prescribed, approximately one-third of patients fail to achieve adequate remission and develop treatment-resistant depression (TRD). This therapeutic shortfall underscores the necessity for novel approaches to treatment. Over the past two decades there has been a resurgence of scientific interest in psychedelics, such as lysergic acid diethylamide (LSD). LSD's primary pharmacological effect is modulation of the 5-HT2A serotonin receptor and the glutamatergic system, both of which have been involved in neuroplasticity. It has been hypothesized that it is these neurobiological effects that are likely to be behind the rapid and sustained antidepressant responses observed in the early clinical studies. Clinical trials are currently underway to determine the safety and efficacy of LSD for the treatment of MDD. However, psychedelic research is not without methodological hurdles, such as providing meaningful placebos to account for LSD's idiosyncratic subjective effects. Also, physicians need specialized training to help navigate these deeply psychologically immersive states experienced in the context of psychedelic-assisted therapy. While LSD-assisted therapy remains experimental, its therapeutic potential is increasingly recognized, especially given the limitations of available treatments for TRD. Continued rigorous research is necessary to achieve careful integration of psychedelic therapies into standard clinical practice.",[LSD revisited: Mechanisms of action and therapeutic potential in mental health].,"A. Bouloufa, S. Delcourte, T. Delannay, N. Haddjeri","[LSD revisited: Mechanisms of action and therapeutic potential in mental health].^
Major depressive disorder (MDD) represents a colossal worldwide burden of health, affecting more than 350 million individuals. While traditional antidepressants with mechanisms of action at the serotonin, dopamine, or norepinephrine pathways are routinely prescribed, approximately one-third of patients fail to achieve adequate remission and develop treatment-resistant depression (TRD). This therapeutic shortfall underscores the necessity for novel approaches to treatment. Over the past two decades there has been a resurgence of scientific interest in psychedelics, such as lysergic acid diethylamide (LSD). LSD's primary pharmacological effect is modulation of the 5-HT2A serotonin receptor and the glutamatergic system, both of which have been involved in neuroplasticity. It has been hypothesized that it is these neurobiological effects that are likely to be behind the rapid and sustained antidepressant responses observed in the early clinical studies. Clinical trials are currently underway to determine the safety and efficacy of LSD for the treatment of MDD. However, psychedelic research is not without methodological hurdles, such as providing meaningful placebos to account for LSD's idiosyncratic subjective effects. Also, physicians need specialized training to help navigate these deeply psychologically immersive states experienced in the context of psychedelic-assisted therapy. While LSD-assisted therapy remains experimental, its therapeutic potential is increasingly recognized, especially given the limitations of available treatments for TRD. Continued rigorous research is necessary to achieve careful integration of psychedelic therapies into standard clinical practice."
"['antidepressant mechanism', 'inflammation', 'ketamine', 'major depressive disorder', 'monoaminergic neurotransmission', 'psychedelics', 'rapid-acting antidepressants', 'stress']",41960182,https://pubmed.ncbi.nlm.nih.gov/41960182/,10.3389/fcell.2026.1777975,2026-01-01,2026,"Major depressive disorder is a highly prevalent psychiatric condition that can affect individuals across the lifespan, yet its pathophysiology remains incompletely understood. Classical hypotheses, informed by preclinical and clinical studies, emphasized dysregulated monoaminergic neurotransmission and guided the development of widely prescribed antidepressants, including selective serotonin reuptake inhibitors and serotonin-noradrenaline reuptake inhibitors. Although these agents improved treatment outcomes, they typically require weeks to achieve therapeutic effects, must be taken continuously, and fail to produce adequate responses in nearly one-third of patients. In addition, adverse effects, such as increased suicidal ideation in some populations, highlight the need for safer and more effective therapies. Recent discoveries of rapid-acting antidepressant effects of ketamine and psychedelic compounds have challenged traditional monoaminergic models and highlighted alternative mechanisms involving glutamatergic signaling, synaptic plasticity, and immune-brain interactions. At the same time, long-standing assumptions about neurotransmitter abnormalities are being re-examined, reinvigorating interest in mechanistic and circuit-level models. This review summarizes historical and emerging perspectives on antidepressant development, outlines major animal models of depression, and highlights recent advances in translational research that are redefining therapeutic strategies.","Neural signaling mechanisms in depression: bridging classical monoamine hypotheses, animal models, and emerging antidepressant strategies.","M. Yamamoto, H. Hirakata, K. Toda","Neural signaling mechanisms in depression: bridging classical monoamine hypotheses, animal models, and emerging antidepressant strategies.^
Major depressive disorder is a highly prevalent psychiatric condition that can affect individuals across the lifespan, yet its pathophysiology remains incompletely understood. Classical hypotheses, informed by preclinical and clinical studies, emphasized dysregulated monoaminergic neurotransmission and guided the development of widely prescribed antidepressants, including selective serotonin reuptake inhibitors and serotonin-noradrenaline reuptake inhibitors. Although these agents improved treatment outcomes, they typically require weeks to achieve therapeutic effects, must be taken continuously, and fail to produce adequate responses in nearly one-third of patients. In addition, adverse effects, such as increased suicidal ideation in some populations, highlight the need for safer and more effective therapies. Recent discoveries of rapid-acting antidepressant effects of ketamine and psychedelic compounds have challenged traditional monoaminergic models and highlighted alternative mechanisms involving glutamatergic signaling, synaptic plasticity, and immune-brain interactions. At the same time, long-standing assumptions about neurotransmitter abnormalities are being re-examined, reinvigorating interest in mechanistic and circuit-level models. This review summarizes historical and emerging perspectives on antidepressant development, outlines major animal models of depression, and highlights recent advances in translational research that are redefining therapeutic strategies."
"['classic psychedelics', 'emotional reactivity', 'emotions', 'fMRI', 'long‐term effects', 'naturalistic use']",41954041,https://pubmed.ncbi.nlm.nih.gov/41954041/,10.1002/hbm.70522,2026-04-01,2026,"Classic psychedelics profoundly alter emotional states, inducing intense acute experiences lasting hours, followed by subtler, longer-lasting changes in emotional reactivity that can persist for weeks. While experimental and clinical studies document these prolonged effects, the highly context-dependent nature of psychedelic experiences leaves open the question of whether naturalistic, nonclinical use similarly modulates emotional processing. To investigate this, we conducted a preregistered, cross-sectional fMRI study comparing experienced psychedelic users (≥ 10 lifetime uses; N = 33) with closely matched nonusers (N = 34). Participants performed an emotional face recognition task, and we examined behavioral performance and neural responses to angry, happy, and fearful facial expressions. Behavioral results revealed that psychedelic users recognized angry expressions more quickly and accurately, indicating enhanced processing efficiency for threat-related stimuli. Consistent with this, whole-brain fMRI analyses showed reduced activation to anger in key limbic and salience network regions. Psychedelic users also exhibited heightened responses to happy expressions in parietal and sensorimotor cortices-aligning with prior clinical observations-as well as increased precuneus activation to fearful expressions. Region-of-interest analyses further demonstrated reduced differentiation between emotional categories in two default mode network nodes: the frontal medial cortex and parahippocampal gyrus. These findings provide a nuanced characterization of neurofunctional changes in emotional processing linked to repeated naturalistic psychedelic use. By bridging clinical and real-world contexts, this work deepens our understanding of the potential long-term consequences of psychedelics and complements existing evidence from controlled therapeutic settings.",Investigating Emotional Reactivity in Experienced Users of Psychedelics: A Cross-Sectional fMRI Study.,"P. Orłowski, A. Domagalik, M. Bola","Investigating Emotional Reactivity in Experienced Users of Psychedelics: A Cross-Sectional fMRI Study.^
Classic psychedelics profoundly alter emotional states, inducing intense acute experiences lasting hours, followed by subtler, longer-lasting changes in emotional reactivity that can persist for weeks. While experimental and clinical studies document these prolonged effects, the highly context-dependent nature of psychedelic experiences leaves open the question of whether naturalistic, nonclinical use similarly modulates emotional processing. To investigate this, we conducted a preregistered, cross-sectional fMRI study comparing experienced psychedelic users (≥ 10 lifetime uses; N = 33) with closely matched nonusers (N = 34). Participants performed an emotional face recognition task, and we examined behavioral performance and neural responses to angry, happy, and fearful facial expressions. Behavioral results revealed that psychedelic users recognized angry expressions more quickly and accurately, indicating enhanced processing efficiency for threat-related stimuli. Consistent with this, whole-brain fMRI analyses showed reduced activation to anger in key limbic and salience network regions. Psychedelic users also exhibited heightened responses to happy expressions in parietal and sensorimotor cortices-aligning with prior clinical observations-as well as increased precuneus activation to fearful expressions. Region-of-interest analyses further demonstrated reduced differentiation between emotional categories in two default mode network nodes: the frontal medial cortex and parahippocampal gyrus. These findings provide a nuanced characterization of neurofunctional changes in emotional processing linked to repeated naturalistic psychedelic use. By bridging clinical and real-world contexts, this work deepens our understanding of the potential long-term consequences of psychedelics and complements existing evidence from controlled therapeutic settings."
"['Aggression', 'drugs', 'psychosis', 'schizophrenia', 'violence']",41953886,https://pubmed.ncbi.nlm.nih.gov/41953886/,10.1176/appi.focus.26024106,2026-01-01,2026,"BACKGROUND: Substance use disorder explains much of the excess risk of violent behaviour in psychotic disorders. However, it is unclear to what extent the pharmacological properties and subthreshold use of illicit substances are associated with violence. METHODS: Individuals with psychotic disorders were recruited for two nationwide projects: GROUP (N = 871) in the Netherlands and NEDEN (N = 921) in the United Kingdom. Substance use and violent behaviour were assessed with standardized instruments and multiple sources of information. First, we used logistic regression models to estimate the associations of daily and nondaily use with violence for cannabis, stimulants, depressants and hallucinogens in the GROUP and NEDEN samples separately. Adjustments were made for age, sex and educational level. We then combined the results in random-effects meta-analyses. RESULTS: Daily use, compared with nondaily or no use, and nondaily use, compared with no use, increased the pooled odds of violence in people with psychotic disorders for all substance categories. The increases were significant for daily use of cannabis [pooled odds ratio (pOR) 1.6, 95% confidence interval (CI) 1.2-2.0), stimulants (pOR 2.8, 95% CI 1.7-4.5) and depressants (pOR 2.2, 95% CI 1.1-4.5), and nondaily use of stimulants (pOR 1.6, 95% CI 1.2-2.0) and hallucinogens (pOR 1.5, 95% CI 1.1-2.1). Daily use of hallucinogens, which could only be analysed in the NEDEN sample, significantly increased the risk of violence (adjusted odds ratio 3.3, 95% CI 1.2-9.3). CONCLUSIONS: Strategies to prevent violent behaviour in psychotic disorders should target any substance use.",Use of Illicit Substances and Violent Behaviour in Psychotic Disorders: Two Nationwide Case-Control Studies and Meta-Analyses.,"J. Lamsma, W. Cahn, S. Fazel, GROUP and NEDEN investigators","Use of Illicit Substances and Violent Behaviour in Psychotic Disorders: Two Nationwide Case-Control Studies and Meta-Analyses.^
BACKGROUND: Substance use disorder explains much of the excess risk of violent behaviour in psychotic disorders. However, it is unclear to what extent the pharmacological properties and subthreshold use of illicit substances are associated with violence. METHODS: Individuals with psychotic disorders were recruited for two nationwide projects: GROUP (N = 871) in the Netherlands and NEDEN (N = 921) in the United Kingdom. Substance use and violent behaviour were assessed with standardized instruments and multiple sources of information. First, we used logistic regression models to estimate the associations of daily and nondaily use with violence for cannabis, stimulants, depressants and hallucinogens in the GROUP and NEDEN samples separately. Adjustments were made for age, sex and educational level. We then combined the results in random-effects meta-analyses. RESULTS: Daily use, compared with nondaily or no use, and nondaily use, compared with no use, increased the pooled odds of violence in people with psychotic disorders for all substance categories. The increases were significant for daily use of cannabis [pooled odds ratio (pOR) 1.6, 95% confidence interval (CI) 1.2-2.0), stimulants (pOR 2.8, 95% CI 1.7-4.5) and depressants (pOR 2.2, 95% CI 1.1-4.5), and nondaily use of stimulants (pOR 1.6, 95% CI 1.2-2.0) and hallucinogens (pOR 1.5, 95% CI 1.1-2.1). Daily use of hallucinogens, which could only be analysed in the NEDEN sample, significantly increased the risk of violence (adjusted odds ratio 3.3, 95% CI 1.2-9.3). CONCLUSIONS: Strategies to prevent violent behaviour in psychotic disorders should target any substance use."
