study_id,pubmed_id
2256,33653121.0
6244,
2257,37153136.0
5935,
477,30772118.0
1731,
2916,
5849,
1166,26395901.0
2384,
2409,
6066,
2392,
5919,
2043,20679587.0
152,
2423,
695,32437573.0
5918,23982301.0
6148,
2405,
2407,
4729,24821196.0
9484,22297150.0
2414,
53,19897179.0
2387,
2398,
8051,26707087.0
2395,
8153,
2377,
6001,
2427,
2380,
5475,26415966.0
2422,
4976,37205558.0
9588,
7466,36672348.0
2386,
2382,
2417,
2381,
2390,
8836,30346333.0
8417,23182590.0
7943,32591498.0
2419,
3704,26478208.0
9572,30278319.0
6080,
9573,30789302.0
4420,34882570.0
5920,22840761.0
4730,
3260,32600480.0
7940,
2255,
8380,36044154.0
4688,24910102.0
2535,33397139.0
6067,
9339,26578082.0
3147,
4014,37974160.0
1964,34623633.0
1437,30081380.0
6899,30922101.0
1963,34510411.0
9182,34421299.0
2536,37404970.0
6902,
2112,30246667.0
4570,32301056.0
777,10686270.0
2650,25038867.0
9571,32658821.0
3063,
3791,22298121.0
6903,35931041.0
4949,17853274.0
8351,36966411.0
7402,
4948,17525879.0
3216,29202655.0
7130,
8154,
5914,
5921,26266877.0
5006,36799961.0
1451,34752941.0
5173,19744406.0
58,35110300.0
1228,33542187.0
2497,
2539,24740528.0
1240,29656663.0
3819,32861217.0
3822,27232360.0
2939,24374115.0
4307,33060432.0
4025,35179810.0
2552,34090255.0
6524,36112599.0
2487,27926528.0
2763,32412700.0
1913,34971723.0
2044,20673547.0
1239,34412104.0
7401,
9232,31729893.0
135,
1237,
6212,
3903,23805864.0
4308,31123668.0
1694,25847818.0
530,33929489.0
2113,33583341.0
127,
816,
8052,27056608.0
7598,31494365.0
5022,33478865.0
7190,28242871.0
8062,30107350.0
1453,34597436.0
2035,24699062.0
1755,26893373.0
5967,
9175,34186531.0
3959,27317968.0
153,
3001,29561204.0
5513,32664031.0
2383,
1488,
2401,
2385,
2378,
260,29727073.0
6072,
2425,
2490,36516343.0
2418,
3112,35012326.0
7945,
2420,
470,
7396,32871688.0
7942,32871534.0
9592,34633992.0
1484,
77,35046508.0
336,
2400,
352,28359862.0
9174,
7898,
3173,
6168,
2299,35020871.0
